d:,d:,d:,d:r,d:,d:,d:,d:,d:,d:,d:,d:,d:r,d:,d:r,d:,d:,d:
d:,d:,d:,s:,s:h,s:,d:,d:,d:,d:,d:,d:,d:,s:,d:,d:,d:,d:
d:,s:,s:,m:,f:,v:,s:h,d:,d:w,s:,s:,s:,s:,.:,s:h,s:h,d:,d:r
s:,.:,.:,.:,f:,.:,m:,s:,s:,f:,f:,.:f,m:,f:,.:f,v:,s:,d:w
f:,.:c,f:,f:,f:,.:,.:,.:f,m:o,f:,c:1,.:f,f:,m:,.:f,f:,s:,d:
s:,s:h,v:,f:,.:,m:,.:,v:,.:c,.:,.:,m:,m:,f:r,f:,.:f,s:h,s:
d:,s:,.:c,s:h,.:f,f:,f:,.:,.:c,.:,m:,.:f,f:a,.:,.:f,.:f,v:,m:
d:,d:,s:,s:,m:,.:,m:,f:,.:,m:,s:,s:h,v:,m:,.:,f:,.:c,.:
d:r,d:,d:,s:,.:,.:,.:,.:c,m:,.:f,s:h,.:f,.:,.:c,.:,s:,.:,.:
d:,d:,s:,f:,.:c,v:,.:,f:,.:c,v:,.:,.:,.:r,s:h,.:f,v:,.:c,.:
d:,d:,d:,s:,s:,s:,s:,.:,s:h,s:,.:,.:,s:,d:,s:,.:,s:,s:
d:,d:,d:,d:,d:,s:h,.:,s:,d:,s:,.:,.:,.:,s:,d:,s:,d:,d:
d:,d:,d:,d:,s:h,v:,.:f,s:,s:,.:,.:,c:11,.:f,s:,d:,d:,d:,d:
d:,d:,d:,d:,s:,.:,.:,.:,s:h,.:,.:c,.:f,.:,.:,s:,d:,d:,d:
d:,d:,d:,d:,d:,s:,s:,s:,s:,.:,.:f,.:,.:,.:,s:,d:,d:,d:
d:,d:,d:,d:,d:,d:,d:,s:,.:,.:f,v:,.:,.:,.:,s:h,d:,d:,d:
d:,d:,d:,d:,d:,d:,d:,d:,s:,.:f,.:,.:f,.:f,v:,s:h,d:w,d:,d:
d:r,d:,d:,d:,d:,d:,d:,d:,d:,s:,.:,f:r,.:c,s:,d:,d:,d:,d:
