f:,f:,.:r,f:,m:,f:,f:,f:,f:,f:,m:,f:,f:,.:
f:,m:,f:,s:,s:,s:,s:h,v:,f:a,f:,f:,f:,.:,.:
f:,s:,m:,s:,d:,s:,s:h,.:f,f:,.:,m:,v:,.:,.:
.:,f:,s:,s:h,s:,f:,s:,f:,s:,f:a,s:,s:,f:,.:
f:,s:,s:,v:,s:,f:,.:c,f:,s:,s:h,s:,.:,.:f,m:o
.:,s:h,d:,s:h,d:,s:,v:,s:,d:,d:,s:,.:,s:,.:c
.:,s:,s:,f:,s:,s:h,s:h,f:,s:,s:,.:,.:,s:,.:
f:,f:,f:a,f:,.:c,m:,s:,s:,d:,s:,.:,.:,v:,.:
f:,f:,f:,c:5,f:,.:c,s:h,s:h,s:h,.:,.:,f:,.:f,f:
f:r,.:,f:,f:a,f:,s:h,v:,.:,.:,.:f,f:,.:c,.:f,.:
f:,f:,s:,s:,s:,f:,.:,.:c,f:,c:11,.:f,f:,v:,f:a
f:a,v:,s:,s:h,s:,f:,s:,s:,f:,.:,.:,s:h,s:h,.:f
m:,m:,f:,f:,s:,s:,s:,s:,s:,s:,s:,s:,.:,m:o
.:,.:r,f:,f:,.:,f:,f:r,.:,.:,.:,.:,.:,f:r,m:
