d:r,d:,d:,d:,d:,s:,s:h,s:h,d:,s:,s:,s:,d:r,d:
d:,d:,d:,d:w,s:,m:,.:,c:2,s:,.:,.:,f:,s:,d:
d:,d:,s:,s:h,s:h,.:c,f:a,f:a,s:h,.:,c:10,.:,s:h,s:
d:,s:,f:,f:,c:6,.:,.:c,.:,.:f,.:f,f:,.:f,.:,.:c
d:,s:,f:,m:,.:,s:h,.:,v:,f:a,s:h,.:f,f:a,.:,f:
d:,s:,.:,f:,m:,m:,.:,f:,.:,.:,s:,c:11,.:c,m:r
d:,s:,s:h,s:h,m:o,.:f,f:,s:h,f:,f:,.:f,.:,.:c,s:
s:,f:,f:,c:0,f:,.:,f:a,c:4,f:,m:,.:f,m:,f:,s:h
s:,f:,.:c,.:,s:,.:,.:,s:h,.:f,.:,.:,.:,c:1,s:h
s:h,m:,f:,f:,s:,f:,f:,m:,.:,.:,m:,.:f,s:h,.:f
d:,s:,s:,s:,d:,s:,s:,s:,.:c,c:7,m:o,.:,s:,s:
d:,s:,v:,s:h,d:,d:,d:,s:,m:,f:,.:c,.:,s:,d:
d:,d:,s:h,d:,d:,d:,d:,d:,s:,s:,s:,s:,d:,d:
d:w,d:,d:,d:w,d:,d:,d:,d:,d:r,d:,d:,d:r,d:,d:
