f:,f:,.:,s:h,f:a,f:,f:,f:a,.:,f:,.:,f:,m:,f:
f:,f:,.:c,c:4,s:h,s:,s:h,.:,.:,.:,.:,.:f,f:,.:
f:,.:,.:,f:a,.:,s:h,.:f,v:,.:,.:,.:c,v:,f:,.:
.:,.:,.:,f:,.:f,s:,.:,f:,s:h,f:,.:,.:,.:c,f:a
.:,.:,v:,f:,s:,s:h,.:c,f:,s:h,f:,f:,.:,f:,.:c
m:,m:,.:,.:,.:,v:,.:c,.:,f:,f:,.:,f:,v:,.:
.:,.:c,f:,.:,s:,s:,f:,f:,f:a,f:,.:,f:,f:,f:
.:,.:c,v:,f:,f:,s:,.:r,.:f,v:,m:,f:,.:,m:,f:r
.:,.:c,f:,s:h,s:,s:,f:,f:,.:c,m:,f:,s:h,f:,.:
f:,m:,.:,.:,.:,.:,f:,f:,.:,f:,.:,s:,.:,f:
.:,f:,f:,m:,v:,.:,f:,s:h,s:h,f:,.:,v:,s:,f:r
f:,v:,m:o,f:,.:,f:,.:,f:a,c:5,f:,f:,.:,s:,f:a
f:a,f:,f:a,f:a,f:,f:,f:,.:,f:,f:a,.:,.:,f:,.:
f:,f:,.:,f:,.:,.:r,.:,.:c,.:,f:,.:r,f:,m:,f:
