d:,d:,s:,s:,s:,s:h,d:,d:w,s:,f:,f:a,s:,d:,d:
d:r,s:,f:,.:,.:,v:,s:h,s:,v:,.:c,m:r,s:,d:,d:
s:h,m:,v:,.:,m:,.:c,f:a,m:,.:,.:,.:,s:,d:,d:
s:,.:c,m:,.:,.:c,.:,m:,.:,.:,.:,m:,s:,d:r,d:
d:,s:,f:,f:,.:,.:,f:a,v:,.:,.:,s:,d:,d:,d:
d:,s:,.:c,.:,.:,.:,.:,.:,f:a,.:,s:,d:,d:,d:
d:r,s:h,f:,.:c,.:,.:,.:,.:,.:,f:,f:,s:,d:,d:
s:,f:a,v:,.:,f:,f:,.:,f:,f:a,v:,.:c,s:h,d:,d:
s:,f:,.:,.:,.:,f:,v:,f:,m:,.:f,.:c,s:,s:,d:
s:,.:,.:,.:f,s:,s:,.:f,f:,m:,f:,f:,s:,.:f,s:
s:,.:,c:8,s:,d:,d:,s:,f:,f:a,.:f,m:,c:6,.:f,s:
s:,.:c,s:h,d:w,d:,s:h,f:,.:f,v:,.:f,f:,f:,s:h,d:
d:,s:,d:,d:,s:,v:,.:c,f:a,.:,.:f,.:f,s:h,d:,d:
d:r,d:,d:,d:,d:,s:h,.:,f:,s:h,s:h,s:,d:,d:,d:
