d:,d:,d:,d:,d:,d:r,d:,d:,d:r,d:,s:h,s:h,d:,d:
d:,d:,s:,s:h,s:h,s:,s:,s:,s:,s:,v:,.:,s:,d:
d:,s:h,f:,f:,.:f,.:,.:c,f:,.:c,m:o,.:,.:f,.:,s:
s:h,v:,f:,.:,c:11,.:,f:,v:,f:,.:f,.:c,f:,.:,s:
.:,.:,.:f,.:f,s:,s:,s:h,.:f,m:o,f:,.:f,v:,f:,s:
.:,m:r,f:,s:,d:,d:,d:,s:h,s:,m:,.:,f:,s:,d:
.:,f:,.:,s:,d:,d:r,d:,d:,d:,s:,s:,s:,d:,d:
.:,.:c,v:,.:c,s:h,d:,d:,d:,d:,d:,s:,d:,d:,d:
s:h,.:f,m:,.:,.:,s:,d:,d:,d:,s:h,v:,s:h,d:,d:
s:,f:,.:,m:,.:,.:,s:,d:,d:,d:,s:,d:,d:w,d:
s:,m:,f:,v:,m:o,.:,s:,s:h,s:,s:,d:,d:,d:,d:
s:,f:,.:,.:,f:,f:,s:,m:,m:,.:,s:,d:,d:,d:
s:,f:r,f:,m:,.:,s:,s:,c:0,f:a,m:,s:,d:,d:,d:
d:,s:,s:,s:,s:,s:w,m:o,.:f,.:,m:,s:,d:,d:,d:
