m:,.:,.:,f:,f:,.:,.:,.:,.:,m:,f:,m:,m:,f:,.:f,.:,.:,m:r
m:,s:,v:,s:h,s:,s:h,m:,v:,s:h,s:,s:,.:,v:,s:h,s:,.:,m:,.:
f:,f:,.:,s:h,s:,f:,s:h,f:,f:,s:,d:,s:h,s:h,s:h,s:,s:,f:r,f:
m:,.:,.:,s:h,s:,s:,s:,m:,m:,.:,s:h,d:,s:,.:,m:,.:f,m:,f:
f:,.:c,f:a,v:,.:,s:,s:,f:,c:9,.:f,s:h,d:,d:,s:,m:o,c:0,m:,.:
f:,.:,s:,.:,f:,s:h,s:,m:o,.:,.:,s:,d:w,d:,s:h,f:,f:,.:f,m:
.:,s:,d:w,s:,m:r,.:,s:,f:a,s:h,s:h,d:,d:r,s:,s:h,.:f,s:,s:,f:
f:,s:,d:,s:,.:,s:,v:,s:,d:,d:,d:,s:,m:,v:,f:,s:,s:,m:
f:r,.:,s:,s:,s:,s:,m:o,.:,s:,s:,s:,.:f,s:,f:,m:,m:,s:,f:
.:,.:c,m:o,f:,.:,s:h,.:,f:,s:,.:f,f:,s:,d:,s:h,s:,s:,s:,f:
.:,.:r,.:,c:7,.:,s:,f:,v:,f:,s:,v:,s:,s:,s:,.:,s:,s:,.:
f:,s:,.:c,.:c,m:,s:,f:,s:,f:,s:h,s:h,.:,f:a,f:,.:c,s:,s:h,.:
m:,s:,s:,s:,s:,.:,f:,s:,s:,s:h,s:h,f:,.:,v:,s:,s:h,.:c,.:f
f:,s:,d:,d:,d:w,s:,s:,s:,.:,v:,f:a,s:,.:,.:c,s:h,s:,v:,f:
.:,s:,d:,d:,s:,v:,s:,s:,s:,s:h,s:,s:,f:,f:,f:,s:h,s:h,f:
f:,s:,d:,d:,d:,s:,m:,.:,.:,.:,s:h,f:,s:h,c:4,s:h,f:,f:r,.:
m:o,v:,s:,s:,s:,s:,f:,.:r,m:,v:,s:h,s:h,f:,.:f,.:,m:,.:,.:
.:,m:o,f:,f:r,m:,.:,f:,m:,.:f,f:a,.:,f:,.:,.:,.:,.:,f:,.:
