f:,m:,m:,f:,m:r,.:,.:,f:,.:,.:,.:,.:,.:,.:r
.:,v:,f:a,s:,.:,s:,s:h,.:,s:h,s:,s:,s:,s:,f:
.:f,s:,s:,s:,.:,s:,s:,v:,s:h,d:w,d:,d:,s:,f:
.:,s:,.:,s:,v:,s:,.:c,m:o,.:,s:,s:h,s:,s:,.:
m:,s:,f:,s:,f:,s:,s:,s:,f:,f:,s:h,.:,s:h,f:
.:,s:,s:,m:,.:c,.:,s:,s:,f:,s:h,c:4,.:,.:,.:
f:,.:,s:,f:,c:7,m:o,s:,s:,.:,.:,.:,.:f,s:,.:f
.:,m:,s:,.:,f:,m:,s:,d:r,s:h,s:,s:,.:,s:h,m:
m:,v:,s:,s:,s:,s:,s:h,s:h,.:,s:,s:,v:,s:h,f:r
.:,s:h,s:,.:f,m:,.:,.:c,.:,.:,.:f,.:,s:h,s:h,.:
f:,.:,s:h,m:,c:8,m:,s:,f:,c:11,.:f,f:,.:,s:,m:
.:,v:,.:,.:,.:c,.:,s:,f:,f:,.:,s:h,v:,s:h,.:
.:f,s:,s:h,s:,s:,f:,.:,.:,s:,s:,s:h,.:f,s:h,f:
m:,m:,.:,.:,.:,.:,f:,.:,.:,f:,f:,.:,.:,f:r
