s:,s:h,s:,d:,d:,s:,.:c,.:f,f:,s:,d:,d:,d:,d:,d:,d:
.:,c:1,.:f,s:,d:,s:,.:c,v:,m:,s:,d:r,d:,d:,d:,d:,d:
.:f,m:,.:,s:,d:,s:,f:,f:a,.:f,s:,d:w,s:,d:,d:,d:,d:
.:,.:,.:,s:,d:,d:r,s:,s:,s:,d:,s:,v:,s:,d:,d:,d:
s:,s:,s:,s:,s:,s:,d:,s:,s:,s:,d:,s:h,d:,d:,d:,d:
d:,d:,s:,.:,.:,.:,s:,f:,.:f,.:,s:,d:r,d:,d:,d:,d:
s:,s:,s:,m:,.:f,.:,f:,f:,.:,.:,.:,s:,d:,s:,d:,d:
f:,.:f,.:c,m:,.:,v:,m:,.:,m:,v:,f:,f:,s:,v:,s:,d:
f:,.:,f:,f:a,.:,f:,f:,f:,.:,f:,.:c,f:,s:,s:,d:,d:
f:,.:,v:,f:,.:,f:,.:,.:c,.:,f:,f:,.:,s:,d:,d:,d:
s:h,m:o,f:,.:c,m:,.:,.:,v:,f:,m:,m:,s:,d:,d:,d:,d:
m:,.:,.:,f:,.:,m:,.:,f:,f:a,.:c,v:,s:,d:,d:,d:,d:
.:,f:,.:,v:,.:,.:,.:,f:,f:,m:,.:,s:,d:,d:,d:,d:
.:,.:,m:,s:,.:,f:,v:,s:,f:,.:,f:,s:,d:,d:,d:,d:
s:,s:,s:,s:,f:,.:,.:,s:,m:r,.:,c:7,.:f,s:w,d:,d:,d:
d:,d:,d:,d:r,s:,s:,s:,d:,s:,.:f,s:,s:,d:r,d:,d:,d:r
