f:,f:,f:,.:c,s:,s:h,f:,.:r,.:,m:,f:,f:,f:r,.:,f:,.:
f:,m:,.:,.:,.:,c:6,f:a,.:,f:,.:r,.:,.:,.:,f:,.:,.:
f:,s:h,s:,f:a,s:,f:,f:,f:,m:,m:o,f:,m:,.:,.:,.:,.:
f:,m:,c:5,s:h,s:h,s:,.:,f:,f:,.:f,c:0,f:,.:r,.:,v:,.:
.:,f:,f:a,.:,f:,.:,f:,v:,.:c,.:,.:,m:,f:,.:f,.:,.:
f:,.:,.:,f:,s:,.:,.:,.:,f:,.:,f:,f:,.:,.:,.:,.:
m:,.:,.:,.:,s:h,s:,.:f,f:,.:f,m:,f:,m:,.:,.:,c:8,.:
.:,.:c,.:f,c:3,.:,f:,.:f,c:11,m:,.:r,.:c,v:,f:a,.:f,.:f,.:c
m:,.:,.:f,.:,.:,.:f,s:h,s:,s:,.:f,.:f,.:,.:,.:,s:,.:
.:,.:c,.:,.:,.:c,.:,s:,s:h,f:,.:,f:,f:a,.:,f:,s:,.:
f:,.:,f:,m:,f:,.:,.:,.:,.:,.:,.:r,.:,.:,f:,m:,m:
m:,f:a,m:,m:,.:,v:,.:,.:,.:,.:f,f:,f:a,m:,v:,f:a,f:
f:,f:a,c:2,.:,.:,f:,.:f,f:,v:,m:,.:,f:a,m:o,.:,f:,m:
f:,.:,f:,.:,.:,.:,.:f,m:,.:,.:,m:,m:o,.:,f:,.:,f:
f:,f:,.:,m:,m:,v:,m:,f:r,.:,.:,f:,c:9,.:f,s:,s:,s:
.:,f:,m:,f:,m:,f:,f:,s:,m:,f:a,.:,.:f,f:,m:,f:,s:
