d:,d:,d:r,d:,d:,d:r,d:,s:,.:,f:,.:,f:,.:c,s:,d:,d:
d:,d:,d:,d:,d:,d:,s:,m:,f:,f:,.:c,m:o,.:,s:,d:,d:
s:,s:,s:h,s:,s:,s:,s:,f:,m:,m:,c:7,f:,.:,s:,d:r,d:
f:,m:,.:,v:,m:o,.:c,v:,m:,f:,.:c,.:,f:,f:,s:,d:,d:
m:,f:,.:,f:,.:,m:,.:,f:,f:,m:,f:,f:,.:,s:,s:,d:
m:,f:,f:,m:,f:,f:,.:r,.:,m:o,f:,f:,s:,f:,.:,m:,s:
s:,s:,s:,s:,s:,s:,s:,s:,s:,s:,s:,s:,.:,v:,.:,s:
d:,d:,d:,d:r,s:,v:,s:,d:,s:,.:c,v:,m:,m:,f:,.:,s:
d:,d:,d:,d:,d:,s:h,d:,d:,s:,f:,f:,m:,f:,.:c,.:,s:
d:,d:,d:,d:,d:,d:,d:,d:,s:,.:f,f:,.:f,.:,v:,s:,d:
s:,s:,s:,d:,d:,s:,s:,s:,s:,s:,s:,.:,.:f,.:,s:h,d:
m:,f:,f:,s:,s:,.:,m:,.:c,.:,f:,f:,.:,f:,.:,s:,d:
m:,.:,.:,s:h,s:h,m:o,.:f,.:,.:f,f:,f:,f:,.:,.:f,s:,d:
.:,m:,f:,v:,s:,f:,f:,c:1,.:c,f:,.:,.:,v:,f:,s:,d:
s:,f:,.:,.:f,s:,.:,.:,f:,.:,.:,s:,s:,s:,s:h,d:,d:
s:,.:,m:,m:,s:,f:,f:r,m:,.:,.:,s:,d:,d:,d:,d:w,d:r
