d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,s:,s:h,d:,d:,d:,d:
d:,s:,s:,d:,d:w,d:,d:,d:,d:,s:,.:,.:,s:h,d:,d:,d:
s:,f:a,m:,s:,d:,d:,d:,d:,s:,.:,.:f,c:3,.:f,s:h,d:r,d:
s:,m:,c:10,s:h,s:,d:,d:,d:,s:,.:f,.:f,.:,.:c,.:,s:,d:
s:,.:,.:f,.:f,.:f,s:,d:,d:r,d:,s:,.:,f:,.:c,.:,s:h,d:
s:,f:,.:,.:r,.:,c:11,s:h,d:w,d:,d:,s:,.:,.:f,f:,.:f,s:h
.:f,v:,.:,.:,.:f,.:,.:c,s:,d:,d:,d:,s:,.:,c:8,.:,s:
.:c,f:a,.:,.:,.:,f:,.:,.:,s:,d:,d:,s:,m:,.:,.:c,s:h
.:,f:,.:,f:,v:,f:,.:f,.:,s:h,d:,d:r,s:,.:,f:,f:,m:r
s:,.:,.:,f:,.:,f:,.:,c:1,m:,s:,s:,.:f,.:,.:,.:c,m:
s:,.:,.:,.:f,f:,.:,.:f,m:,m:,f:,f:,f:,v:,.:,.:,.:
s:h,c:4,.:,f:,v:,f:,f:,.:,f:,f:a,.:,f:,f:,.:f,f:,s:
s:h,.:c,f:,f:,f:,m:,f:,.:,.:c,c:5,f:a,f:,f:r,f:,s:,d:
d:,s:,.:c,m:o,.:,.:,s:,s:,s:h,s:,s:h,s:,s:,s:,d:,d:
d:r,d:,s:,c:7,.:,s:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:
d:,d:,d:,s:,s:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:
