s:,s:,s:h,s:,s:,d:,d:,s:,.:,m:,m:,m:,f:,s:
.:,.:,.:c,f:,.:,s:,s:h,.:,f:,m:,.:f,m:,f:,s:
m:,f:,v:,f:,.:,s:,f:,m:,m:o,.:f,.:,v:,.:,s:
f:,.:,m:,f:,.:c,s:,.:,.:,c:0,m:o,.:c,.:,m:,f:a
f:,.:,f:,s:,s:,d:r,s:h,f:a,.:,.:,m:,.:,s:,s:
s:,f:,f:,s:,d:,s:,m:,s:h,f:,.:,m:,s:h,d:,d:
s:,.:,.:f,.:r,s:,s:,s:,s:,.:,m:,v:,s:h,d:,d:
s:,v:,m:,f:,f:,f:,s:,d:,s:,.:f,f:,s:h,d:r,d:
s:,m:,m:,f:a,v:,f:,s:,d:,s:,.:,.:f,.:c,s:,d:
d:,s:,s:,.:c,.:,.:,s:,d:,s:,.:,c:8,.:,s:,d:
d:,d:,d:,s:,s:,s:,d:,d:,s:,.:,.:c,.:,s:,d:
d:,d:,d:,d:,d:,d:,d:,s:,f:,.:c,.:,s:,d:,d:
d:,d:r,d:,d:,d:,d:,d:,s:,v:,.:c,s:,d:,d:,d:
d:,d:,d:,d:,d:,d:,d:,d:,s:h,s:,d:r,d:,d:,d:
