d:,d:,s:,f:a,m:,.:f,m:,m:,.:,.:,s:,d:,d:,d:,d:,d:,d:,d:
d:,d:,s:,f:a,c:2,.:,m:,m:,.:,v:,s:,d:,d:r,d:,d:,s:h,d:,d:
d:,d:,d:,s:h,f:,.:,m:,.:,.:f,f:,s:h,d:w,d:,d:,s:h,v:,s:h,d:
d:,d:,d:,d:,s:,m:,f:,f:r,.:,s:,s:h,s:,d:,d:,d:,s:h,d:,d:
d:,d:,s:,d:,s:,.:,f:,m:,f:,f:,.:,f:,s:,d:,d:,d:,d:,d:
d:w,s:h,v:,s:h,f:,f:a,v:,m:o,.:,.:,.:c,v:,f:,s:h,d:,d:,d:,d:
d:,d:,s:h,s:,m:,m:,f:,.:f,.:,.:r,f:,f:,f:,s:,d:,d:,d:,d:
d:,d:,d:,s:,f:,m:,.:,.:,.:,.:,.:,.:,f:,s:h,d:,s:h,s:,s:h
d:,s:h,s:,s:h,f:,.:,m:,v:,m:,.:r,.:,.:,c:4,s:h,s:h,f:,v:,.:
s:,.:,v:,.:,.:c,.:,.:,.:f,.:,m:,.:,f:,s:h,s:,s:h,f:,.:,f:a
s:,.:f,.:,.:,s:,s:h,m:o,.:,f:,.:,.:,f:a,.:c,.:c,.:c,f:,f:a,.:
s:,.:r,.:,.:c,s:,s:,v:,.:f,f:,.:c,.:f,f:,v:,.:,.:f,v:,.:,.:f
d:,s:,s:,s:,d:,d:,s:,.:f,.:c,v:,f:,.:,.:,f:,m:,.:,f:,.:
d:,d:,d:,d:,s:h,s:,s:,s:,s:h,s:h,s:h,s:,s:,s:,s:h,m:,m:,m:
s:h,s:,s:h,s:h,v:,.:,m:r,s:h,d:,d:,d:,d:,d:r,s:,.:,m:o,.:f,s:
.:,c:3,.:,s:h,.:,f:,.:,s:,d:,d:,d:,d:,d:,s:,.:f,.:,c:0,s:
.:,.:f,.:c,s:h,.:,.:,.:,s:,d:,d:,d:,d:,d:,s:,.:,f:,f:,s:
f:r,.:f,.:,s:,s:,s:,s:,d:,d:,d:,d:,d:,d:,d:r,s:,s:,s:,d:
