d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,s:,f:,m:,.:
d:,d:,d:,d:,d:,d:,s:h,s:,s:,d:,s:,f:,f:a,f:
d:,d:,s:,s:h,s:,s:,f:,v:,.:c,s:h,s:,v:,f:a,f:
d:,s:h,v:,f:,.:,s:,.:,m:,m:o,s:,d:,s:,s:h,s:h
d:w,s:,.:,.:f,f:,s:,.:,.:r,f:,s:,d:,d:,d:,d:
s:,.:,f:,m:,f:,m:,s:,s:,s:,s:h,s:,s:,s:h,d:r
s:,m:,.:,v:,.:c,.:,.:,m:r,m:,.:,.:,v:,.:f,s:
m:,.:,.:c,.:c,.:f,.:c,.:c,.:c,.:,m:,.:c,f:a,.:,s:h
.:,f:,f:,f:,.:,.:c,.:f,.:,c:6,f:,m:,f:,f:,s:
f:r,.:,.:,.:f,m:,v:,f:,f:,.:c,m:,f:,v:,m:,s:
.:,.:f,m:,.:f,.:f,s:h,f:,f:,.:,f:,.:,m:,f:,s:
.:,f:,c:1,f:,.:,f:,f:,s:,s:,f:,f:,m:,s:,d:r
f:,f:,.:,f:,f:,.:,f:,s:h,s:,v:,.:c,f:,s:,d:
f:,f:,.:,f:,f:,.:,.:,s:,d:,s:h,s:h,s:,d:,d:
